filesystem,workload,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets
btrfs,seq_write,4k,1,1,51478,12869.50435,76464.04696,110080,268288,577536,1.0000,0
btrfs,seq_write,4k,4,1,99531,24882.937235,158999.06745,185344,238592,337920,1.0000,0
btrfs,seq_write,4k,16,1,98469,24617.412753,648150.378309,806912,929792,11468800,1.0260,1
btrfs,seq_write,4k,32,1,96900,24225.025832,1319094.149056,1679360,6979584,31588352,1.0265,56
btrfs,seq_write,16k,1,1,201442,12590.146995,78161.546401,94720,222208,5406720,1.0132,4
btrfs,seq_write,16k,4,1,368310,23019.432686,171878.940683,201728,362496,757760,1.0042,0
btrfs,seq_write,16k,16,1,284055,17753.441552,899271.598012,864256,1105920,750780416,1.0083,23
btrfs,seq_write,16k,32,1,292438,18277.390754,1748622.579569,3620864,74973184,541065216,1.0156,239
btrfs,seq_write,64k,1,1,461644,7213.197492,137335.813899,378880,626688,733184,1.0018,5
btrfs,seq_write,64k,4,1,427115,6673.677544,597217.655349,847872,81264640,206569472,1.0001,1
btrfs,seq_write,64k,16,1,407451,6366.43026,2511194.347249,35389440,110624768,2264924160,1.0014,1
btrfs,seq_write,64k,32,1,372052,5813.312905,5502329.061541,61079552,683671552,4731174912,1.0026,245
btrfs,seq_write,128k,1,1,371909,2905.543399,342512.792097,634880,34340864,170917888,1.0017,60
btrfs,seq_write,128k,4,1,386083,3016.280463,1323433.294789,1204224,107479040,792723456,1.0013,0
btrfs,seq_write,128k,16,1,404187,3157.717786,5063757.594976,73924608,566231040,3372220416,1.0014,157
btrfs,seq_write,128k,32,1,341046,2664.424606,12006658.876004,85458944,952107008,3909091328,1.0015,59
btrfs,seq_read,4k,1,1,64021,16005.39982,61336.827208,86528,214016,477184,N/A,0
btrfs,seq_read,4k,4,1,132296,33074.197527,119494.827434,148480,268288,505856,N/A,0
btrfs,seq_read,4k,16,1,130485,32621.41262,489015.660618,602112,741376,1728512,N/A,0
btrfs,seq_read,4k,32,1,130497,32624.345855,979383.518732,1171456,1400832,3588096,N/A,0
btrfs,seq_read,16k,1,1,198589,12411.819606,79319.058652,108032,254976,370688,N/A,0
btrfs,seq_read,16k,4,1,404428,25276.790774,156811.681745,177152,354304,473088,N/A,0
btrfs,seq_read,16k,16,1,392571,24535.748808,650681.642137,798720,913408,2146304,N/A,0
btrfs,seq_read,16k,32,1,393430,24589.380354,1299656.387031,1597440,1744896,1925120,N/A,0
btrfs,seq_read,64k,1,1,544274,8504.283191,116274.695575,142336,276480,618496,N/A,0
btrfs,seq_read,64k,4,1,946801,14793.773541,269109.642952,280576,436224,708608,N/A,0
btrfs,seq_read,64k,16,1,945037,14766.207793,1082187.933531,1384448,1482752,3850240,N/A,0
btrfs,seq_read,64k,32,1,952473,14882.40392,2148612.157581,2539520,3194880,6979584,N/A,0
btrfs,seq_read,128k,1,1,743416,5807.939735,170796.472016,207872,593920,741376,N/A,0
btrfs,seq_read,128k,4,1,1246998,9742.175261,409323.895684,395264,528384,1089536,N/A,0
btrfs,seq_read,128k,16,1,1229194,9603.079897,1664527.517789,1990656,2277376,5668864,N/A,0
btrfs,seq_read,128k,32,1,1277137,9977.634079,3205331.333799,3981312,4423680,4882432,N/A,0
