filesystem,workload,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets
zlfs,seq_write,4k,1,1,119470,29867.637745,18226.986951,26240,40704,72192,0,0
zlfs,seq_write,4k,4,1,118176,29544.2,120002.587332,189440,301056,485376,0,0
zlfs,seq_write,4k,16,1,120087,30021.932602,517834.535577,700416,987136,2408448,0,0
zlfs,seq_write,4k,32,1,120358,30089.5,1048253.815617,1318912,1810432,4177920,0,0
zlfs,seq_write,16k,1,1,447322,27957.634746,20237.984398,26752,39680,72192,0,1
zlfs,seq_write,16k,4,1,461607,28850.471651,123559.194494,199680,337920,415744,0,0
zlfs,seq_write,16k,16,1,452965,28310.333333,549990.424062,733184,1073152,1630208,.0193,0
zlfs,seq_write,16k,32,1,442883,27680.21066,1140658.104798,1499136,2179072,5210112,.0197,0
zlfs,seq_write,64k,1,1,1508510,23570.480984,26974.869021,26496,41728,87552,0,0
zlfs,seq_write,64k,4,1,1502405,23475.084164,154940.944175,216064,321536,626688,0,0
zlfs,seq_write,64k,16,1,1510658,23604.033333,662529.243095,831488,1044480,3555328,0,0
zlfs,seq_write,64k,32,1,1470762,22980.667311,1376563.905109,1695744,1974272,7831552,0,0
zlfs,seq_write,128k,1,1,2515515,19652.466667,35359.351735,26752,42752,83456,0,0
zlfs,seq_write,128k,4,1,2570512,20082.130596,183917.554325,236544,329728,452608,0,0
zlfs,seq_write,128k,16,1,2472869,19319.289357,812349.278948,987136,1286144,3751936,0,0
zlfs,seq_write,128k,32,1,2355044,18398.786707,1722915.994887,2113536,2506752,7831552,0,0
zlfs,seq_read,4k,1,1,124414,31103.663211,17077.418997,25984,41216,158720,N/A,0
zlfs,seq_read,4k,4,1,125130,31282.690577,112782.99587,197632,333824,387072,N/A,0
zlfs,seq_read,4k,16,1,124983,31245.891804,496394.271352,708608,864256,954368,N/A,0
zlfs,seq_read,4k,32,1,125048,31262.091264,1007034.00557,1318912,1564672,1810432,N/A,0
zlfs,seq_read,16k,1,1,460707,28794.233333,19032.140961,26240,42752,70144,N/A,0
zlfs,seq_read,16k,4,1,474933,29683.333333,119381.32338,189440,292864,382976,N/A,0
zlfs,seq_read,16k,16,1,475660,29728.775707,522666.379386,749568,880640,1028096,N/A,0
zlfs,seq_read,16k,32,1,473937,29621.066667,1063608.594908,1482752,1695744,2146304,N/A,0
zlfs,seq_read,64k,1,1,1685847,26341.366667,22750.317561,26496,39168,87552,N/A,0
zlfs,seq_read,64k,4,1,1606540,25102.196593,143435.465687,211968,309248,407552,N/A,0
zlfs,seq_read,64k,16,1,1623756,25371.187627,614081.029243,815104,1302528,1433600,N/A,0
zlfs,seq_read,64k,32,1,1666747,26042.931902,1211435.706285,1548288,2605056,2899968,N/A,0
zlfs,seq_read,128k,1,1,2850955,22273.090897,29517.389433,27776,40192,85504,N/A,0
zlfs,seq_read,128k,4,1,2838608,22176.627446,164764.534458,238592,407552,497664,N/A,0
zlfs,seq_read,128k,16,1,2822058,22047.331756,709133.800983,913408,1892352,2113536,N/A,0
zlfs,seq_read,128k,32,1,2799778,21873.270891,1445034.49779,1777664,4112384,4489216,N/A,0
