filesystem,workload,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets
zlfs,seq_read,128k,1,1,9606318.0,75049.36502133333,16267.117638999998,9506.666666666666,14000.0,46634.666666666664,,0.0
zlfs,seq_read,128k,4,1,9009295.0,70385.12107733333,82971.06059566667,116394.66666666667,240128.0,321877.3333333333,,0.0
zlfs,seq_read,128k,16,1,8915259.333333334,69650.46720666667,350353.6007913333,465237.3333333333,873813.3333333334,1228800.0,,0.0
zlfs,seq_read,128k,32,1,9013399.333333334,70417.186094,706600.0644280001,864256.0,1746944.0,2703360.0,,0.0
zlfs,seq_read,16k,1,1,5680190.333333333,355011.930649,7514.248112,8929.0,14658.666666666666,32213.333333333332,,0.0
zlfs,seq_read,16k,4,1,5517825.0,344864.0787896667,44978.55392766666,71893.33333333333,116693.33333333333,167850.66666666666,,0.0
zlfs,seq_read,16k,16,1,5378164.666666667,336135.339933,195878.29453566668,283477.3333333333,352938.6666666667,442538.6666666667,,0.0
zlfs,seq_read,16k,32,1,5092829.0,318301.8190626667,400459.2555796667,559104.0,681984.0,900096.0,,0.0
zlfs,seq_read,4k,1,1,2377548.3333333335,594387.2759796666,6339.616823666667,8836.333333333334,14083.333333333334,63189.333333333336,,0.0
zlfs,seq_read,4k,4,1,2430240.6666666665,607560.2702133333,40456.40406066667,70656.0,131157.33333333334,157013.33333333334,,0.0
zlfs,seq_read,4k,16,1,2424567.6666666665,606142.0730423332,177283.27537033334,257621.33333333334,356778.6666666667,414208.0,,0.0
zlfs,seq_read,4k,32,1,2331598.3333333335,582899.7255646667,360388.57960966666,479488.0,612864.0,731818.6666666666,,0.0
zlfs,seq_read,64k,1,1,8655118.0,135236.22925233335,10969.196931666665,9034.666666666666,13544.0,40042.666666666664,,0.0
zlfs,seq_read,64k,4,1,8307636.333333333,129806.82866133335,62306.89246866666,91306.66666666667,144042.66666666666,212992.0,,0.0
zlfs,seq_read,64k,16,1,8096226.333333333,126503.53877099999,264706.43832099997,372736.0,622592.0,759125.3333333334,,0.0
zlfs,seq_read,64k,32,1,8242887.0,128795.11794066668,521976.4446786667,703488.0,1149610.6666666667,1499136.0,,0.0
zlfs,seq_write,128k,1,1,7132980.666666667,55726.41636933334,20644.228894999997,9290.666666666666,17386.666666666668,49792.0,0.0,0.0
zlfs,seq_write,128k,4,1,6880421.666666667,53753.29711233333,98911.46249266667,134826.66666666666,212138.66666666666,324608.0,0.0,0.0
zlfs,seq_write,128k,16,1,6827587.666666667,53340.53309333333,422219.45098666666,542037.3333333334,708608.0,2026154.6666666667,0.00016666666666666666,0.0
zlfs,seq_write,128k,32,1,6015984.0,46999.87778166667,923390.5336916667,1135957.3333333333,1495040.0,4532906.666666667,0.00036666666666666667,0.0
zlfs,seq_write,16k,1,1,4331347.333333333,270709.24302533333,8315.596633333333,9122.666666666666,13672.0,35093.333333333336,0.0,1.0
zlfs,seq_write,16k,4,1,4186540.0,261658.76693,48112.34528533334,79274.66666666667,137898.66666666666,172885.33333333334,0.0,0.0
zlfs,seq_write,16k,16,1,4140622.3333333335,258788.93270566667,211716.205354,293888.0,430762.6666666667,674474.6666666666,0.0064333333333333334,0.0
zlfs,seq_write,16k,32,1,3940840.3333333335,246302.55658166666,440130.9103996667,588970.6666666666,847189.3333333334,2016597.3333333333,0.006566666666666666,0.0
zlfs,seq_write,4k,1,1,1957608.3333333333,489402.25325800007,6884.955139333332,8928.0,13952.0,34901.333333333336,0.0,0.0
zlfs,seq_write,4k,4,1,1850207.6666666667,462552.0654223333,43805.38736766666,70272.0,118784.0,189952.0,0.0,0.0
zlfs,seq_write,4k,16,1,1814843.3333333333,453710.99852233334,188515.92264566667,259413.33333333334,403029.3333333333,913920.0,0.0,0.0
zlfs,seq_write,4k,32,1,1843537.3333333333,460884.4048476666,380820.74753366667,494592.0,684032.0,1540778.6666666667,0.0,0.0
zlfs,seq_write,64k,1,1,6320703.333333333,98760.99685566667,13728.892132333334,9168.666666666666,14490.666666666666,40170.666666666664,3.3333333333333335e-05,0.0
zlfs,seq_write,64k,4,1,6178654.333333333,96541.48195066668,71535.15698733334,99328.0,154965.33333333334,296106.6666666667,0.0,0.0
zlfs,seq_write,64k,16,1,5976973.333333333,93390.21592633333,303866.4701476667,401408.0,512341.3333333333,1508010.6666666667,0.0,0.0
zlfs,seq_write,64k,32,1,5924598.666666667,92571.85871566668,626248.8044013333,797354.6666666666,957098.6666666666,3478869.3333333335,0.0,0.0
