filesystem,workload,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets,bandwidth_MBps,lat_mean_us,lat_p99_us,lat_p999_us
zlfs,seq_read,128k,1,1,9606318.0,75049.36502133333,16267.117638999998,9506.666666666666,14000.0,46634.66666666666,,0.0,9381.169921875,16.267117639,9.506666666666666,14.0
zlfs,seq_read,128k,4,1,9009295.0,70385.12107733333,82971.06059566667,116394.66666666669,240128.0,321877.3333333333,,0.0,8798.1396484375,82.97106059566667,116.39466666666668,240.128
zlfs,seq_read,128k,16,1,8915259.333333334,69650.46720666667,350353.6007913333,465237.3333333333,873813.3333333334,1228800.0,,0.0,8706.307942708334,350.3536007913333,465.2373333333333,873.8133333333334
zlfs,seq_read,128k,32,1,9013399.333333334,70417.186094,706600.0644280001,864256.0,1746944.0,2703360.0,,0.0,8802.147786458334,706.6000644280001,864.256,1746.944
zlfs,seq_read,16k,1,1,5680190.333333333,355011.930649,7514.248112,8929.0,14658.666666666666,32213.33333333333,,0.0,5547.060872395833,7.514248112000001,8.929,14.658666666666665
zlfs,seq_read,16k,4,1,5517825.0,344864.0787896667,44978.55392766666,71893.33333333333,116693.33333333331,167850.66666666666,,0.0,5388.5009765625,44.97855392766666,71.89333333333333,116.69333333333331
zlfs,seq_read,16k,16,1,5378164.666666667,336135.339933,195878.29453566668,283477.3333333333,352938.6666666667,442538.6666666667,,0.0,5252.113932291667,195.87829453566667,283.4773333333333,352.9386666666667
zlfs,seq_read,16k,32,1,5092829.0,318301.8190626667,400459.2555796667,559104.0,681984.0,900096.0,,0.0,4973.4658203125,400.4592555796667,559.104,681.984
zlfs,seq_read,4k,1,1,2377548.333333333,594387.2759796666,6339.616823666667,8836.333333333334,14083.333333333334,63189.333333333336,,0.0,2321.824544270833,6.339616823666667,8.836333333333334,14.083333333333334
zlfs,seq_read,4k,4,1,2430240.6666666665,607560.2702133333,40456.40406066667,70656.0,131157.33333333334,157013.33333333334,,0.0,2373.2819010416665,40.45640406066667,70.656,131.15733333333336
zlfs,seq_read,4k,16,1,2424567.6666666665,606142.0730423332,177283.27537033334,257621.3333333333,356778.6666666667,414208.0,,0.0,2367.7418619791665,177.28327537033334,257.6213333333333,356.7786666666667
zlfs,seq_read,4k,32,1,2331598.333333333,582899.7255646667,360388.57960966666,479488.0,612864.0,731818.6666666666,,0.0,2276.951497395833,360.38857960966664,479.488,612.864
zlfs,seq_read,64k,1,1,8655118.0,135236.22925233337,10969.196931666664,9034.666666666666,13544.0,40042.66666666666,,0.0,8452.263671875,10.969196931666664,9.034666666666666,13.544
zlfs,seq_read,64k,4,1,8307636.333333333,129806.82866133336,62306.89246866666,91306.66666666669,144042.66666666666,212992.0,,0.0,8112.926106770833,62.30689246866666,91.30666666666669,144.04266666666666
zlfs,seq_read,64k,16,1,8096226.333333333,126503.538771,264706.438321,372736.0,622592.0,759125.3333333334,,0.0,7906.471028645833,264.706438321,372.736,622.592
zlfs,seq_read,64k,32,1,8242887.0,128795.11794066668,521976.4446786667,703488.0,1149610.6666666667,1499136.0,,0.0,8049.6943359375,521.9764446786667,703.488,1149.6106666666667
zlfs,seq_write,128k,1,1,7132980.666666667,55726.41636933334,20644.228895,9290.666666666666,17386.666666666668,49792.0,0.0,0.0,6965.801432291667,20.644228895,9.290666666666667,17.386666666666667
zlfs,seq_write,128k,4,1,6880421.666666667,53753.29711233333,98911.46249266667,134826.66666666666,212138.66666666663,324608.0,0.0,0.0,6719.161783854167,98.91146249266667,134.82666666666665,212.13866666666664
zlfs,seq_write,128k,16,1,6827587.666666667,53340.53309333333,422219.45098666666,542037.3333333334,708608.0,2026154.6666666667,0.0001666666666666,0.0,6667.566080729167,422.2194509866667,542.0373333333333,708.608
zlfs,seq_write,128k,32,1,6015984.0,46999.87778166667,923390.5336916668,1135957.3333333333,1495040.0,4532906.666666667,0.0003666666666666,0.0,5874.984375,923.3905336916667,1135.9573333333333,1495.04
zlfs,seq_write,16k,1,1,4331347.333333333,270709.24302533333,8315.596633333333,9122.666666666666,13672.0,35093.333333333336,0.0,1.0,4229.831380208333,8.315596633333332,9.122666666666666,13.672
zlfs,seq_write,16k,4,1,4186540.0,261658.76693,48112.34528533334,79274.66666666667,137898.66666666666,172885.33333333334,0.0,0.0,4088.41796875,48.11234528533333,79.27466666666668,137.89866666666666
zlfs,seq_write,16k,16,1,4140622.3333333335,258788.93270566667,211716.205354,293888.0,430762.6666666667,674474.6666666666,0.0064333333333333,0.0,4043.5764973958335,211.716205354,293.888,430.7626666666667
zlfs,seq_write,16k,32,1,3940840.3333333335,246302.55658166663,440130.9103996667,588970.6666666666,847189.3333333334,2016597.3333333333,0.0065666666666666,0.0,3848.4768880208335,440.1309103996667,588.9706666666666,847.1893333333334
zlfs,seq_write,4k,1,1,1957608.3333333333,489402.25325800007,6884.955139333332,8928.0,13952.0,34901.333333333336,0.0,0.0,1911.7268880208333,6.884955139333332,8.928,13.952
zlfs,seq_write,4k,4,1,1850207.6666666667,462552.0654223333,43805.38736766666,70272.0,118784.0,189952.0,0.0,0.0,1806.8434244791667,43.80538736766666,70.272,118.784
zlfs,seq_write,4k,16,1,1814843.3333333333,453710.9985223333,188515.92264566667,259413.3333333333,403029.3333333333,913920.0,0.0,0.0,1772.3079427083333,188.51592264566668,259.4133333333333,403.02933333333334
zlfs,seq_write,4k,32,1,1843537.3333333333,460884.4048476666,380820.74753366667,494592.0,684032.0,1540778.6666666667,0.0,0.0,1800.3294270833333,380.8207475336667,494.592,684.032
zlfs,seq_write,64k,1,1,6320703.333333333,98760.99685566669,13728.892132333334,9168.666666666666,14490.666666666666,40170.66666666666,3.3333333333333335e-05,0.0,6172.561848958333,13.728892132333334,9.168666666666667,14.490666666666666
zlfs,seq_write,64k,4,1,6178654.333333333,96541.48195066668,71535.15698733334,99328.0,154965.33333333334,296106.6666666667,0.0,0.0,6033.842122395833,71.53515698733334,99.328,154.96533333333335
zlfs,seq_write,64k,16,1,5976973.333333333,93390.21592633332,303866.4701476667,401408.0,512341.3333333333,1508010.6666666667,0.0,0.0,5836.888020833333,303.8664701476667,401.408,512.3413333333333
zlfs,seq_write,64k,32,1,5924598.666666667,92571.85871566668,626248.8044013333,797354.6666666666,957098.6666666666,3478869.333333333,0.0,0.0,5785.740885416667,626.2488044013334,797.3546666666666,957.0986666666666
btrfs,seq_write,4k,1,1,51478.0,12869.50435,76464.04696,110080.0,268288.0,577536.0,1.0,0.0,50.271484375,76.46404696,110.08,268.288
