filesystem,workload,block_size,queue_depth,bandwidth_MBps_mean,bandwidth_MBps_std,iops_mean,iops_std,lat_mean_us_mean,lat_mean_us_std,lat_p99_us_mean,lat_p99_us_std,lat_p999_us_mean,lat_p999_us_std,write_amplification_mean,write_amplification_std
btrfs,rand_mixed_30r,128k,1,70.4697265625,,563.765435,,3756.218331485,,6864.896,,102563.84,,1.0932,
btrfs,rand_mixed_30r,128k,16,75.232421875,,601.869907,,52631.738111139995,,114819.072,,5804916.736,,1.065,
btrfs,rand_mixed_30r,4k,1,13.75,,3520.173992,,605.1791518860001,,931.84,,3002.368,,1.0,
btrfs,rand_mixed_30r,4k,16,29.5439453125,,7563.471826000001,,4207.009437496,,9437.184,,42270.72,,1.0966,
btrfs,rand_mixed_30r,64k,1,72.3916015625,,1158.292085,,1803.138636712,,2965.504,,5931.008,,1.0607,
btrfs,rand_mixed_30r,64k,16,71.88671875,,1150.192491,,27701.440569217,,140247.04,,379584.512,,1.0,
btrfs,rand_mixed_50r,128k,1,105.2197265625,,841.765823,,2369.664957764,,4087.808,,25329.664,,1.0777,
btrfs,rand_mixed_50r,128k,16,108.6318359375,,869.065468,,36796.147213873,,83886.08,,126877.696,,1.0881,
btrfs,rand_mixed_50r,4k,1,12.7568359375,,3266.036699,,608.4463329910001,,1116.16,,3551.232,,1.0,
btrfs,rand_mixed_50r,4k,16,32.2587890625,,8258.587071000002,,3869.046258119,,7766.016,,21626.88,,1.1162,
btrfs,rand_mixed_50r,64k,1,85.783203125,,1372.531373,,1451.6448909530002,,2867.2,,4907.008,,1.0594,
btrfs,rand_mixed_50r,64k,16,99.1025390625,,1585.662151,,20167.544292689,,50069.504,,133431.296,,1.0,
btrfs,rand_mixed_70r,128k,1,136.1787109375,,1089.436584,,1926.012157974,,4743.168,,13516.8,,1.0,
btrfs,rand_mixed_70r,128k,16,158.3408203125,,1266.736663,,25700.436711321,,51380.224,,67239.936,,1.086,
btrfs,rand_mixed_70r,4k,1,11.720703125,,3000.549973,,617.524090236,,1243.136,,8994.816,,1.8556,
btrfs,rand_mixed_70r,4k,16,36.4345703125,,9327.483625,,3428.0186010750003,,6062.08,,9699.328,,1.0,
btrfs,rand_mixed_70r,64k,1,91.31640625,,1461.076946,,1443.325873443,,3112.96,,70746.112,,1.0502,
btrfs,rand_mixed_70r,64k,16,147.0068359375,,2352.132394,,13815.42696215,,27918.336,,35717.12,,1.089,
btrfs,rand_read,128k,1,308.80859375,,2470.476476,,402.626263883,,1548.288,,6848.512,,,
btrfs,rand_read,128k,16,1605.53125,,12844.257787,,1244.010803622,,2441.216,,4816.896,,,
btrfs,rand_read,4k,1,10.619140625,,2718.564072,,365.314416982,,618.496,,4751.36,,,
btrfs,rand_read,4k,16,50.3916015625,,12900.254987,,1238.260453573,,2113.536,,2801.664,,,
btrfs,rand_read,64k,1,115.8310546875,,1853.307335,,537.028792597,,4816.896,,15794.176,,,
btrfs,rand_read,64k,16,763.2177734375,,12211.489426,,1308.5001460150002,,2244.608,,2801.664,,,
btrfs,rand_write,128k,1,88.224609375,,705.80007,,1412.72024186,,14876.672,,40632.32,,1.0145,
btrfs,rand_write,128k,16,63.1171875,,504.943274,,31328.148584096,,154140.672,,14696841.216,,1.0,
btrfs,rand_write,4k,1,16.2333984375,,4155.9922,,238.721011597,,358.4,,1482.752,,1.0276,
btrfs,rand_write,4k,16,32.384765625,,8290.735463,,1927.026805298,,3096.576,,5996.544,,1.0548,
btrfs,rand_write,64k,1,182.572265625,,2921.158527,,340.320210408,,806.912,,4358.144,,1.0102,
btrfs,rand_write,64k,16,227.087890625,,3633.406615,,4400.852811506999,,40108.032,,183500.8,,1.0,
btrfs,seq_mixed_50r,128k,1,104.96875,,839.758013,,2376.711089064,,4841.472,,10043.392,,1.0,
btrfs,seq_mixed_50r,128k,16,104.9072265625,,839.272327,,38093.811837495996,,98041.856,,299368.448,,1.0815,
btrfs,seq_mixed_50r,4k,1,13.041015625,,3338.783061,,595.72886524,,972.8,,8601.6,,1.5316,
btrfs,seq_mixed_50r,4k,16,2.9619140625,,758.349972,,42191.537572824,,6160.384,,7962.624,,1.1404,
btrfs,seq_mixed_50r,64k,1,57.24609375,,915.954202,,2177.97278999,,3792.896,,52625.408,,1.0,
btrfs,seq_mixed_50r,64k,16,100.40625,,1606.519674,,19908.020239973,,47710.208,,65011.712,,1.0655,
btrfs,seq_mixed_70r,128k,1,127.923828125,,1023.39883,,2058.8956128620002,,4022.272,,40206.336,,1.0887,
btrfs,seq_mixed_70r,128k,16,153.03125,,1224.256636,,26596.176514038998,,58195.968,,156237.824,,1.0,
btrfs,seq_mixed_70r,4k,1,12.759765625,,3266.78666,,571.0758790120001,,868.352,,1835.008,,1.0,
btrfs,seq_mixed_70r,4k,16,41.5810546875,,10644.917754,,3002.233433075,,5963.776,,8372.224,,1.05,
btrfs,seq_mixed_70r,64k,1,101.453125,,1623.268837,,1267.371418844,,2076.672,,5021.696,,1.0,
btrfs,seq_mixed_70r,64k,16,137.6953125,,2203.139843,,14732.389865169998,,30801.92,,40370.176,,1.0519,
f2fs,rand_mixed_30r,128k,1,257.2861328125,,2058.297085,,855.314251818,,583.04,,1516.544,,1.0,
f2fs,rand_mixed_30r,128k,16,241.3369140625,,1930.703465,,16321.575006602001,,128450.56,,354418.688,,0.981,
f2fs,rand_mixed_30r,4k,1,12.5966796875,,3224.938753,,544.555670781,,320.896,,2903.296,,1.0,
f2fs,rand_mixed_30r,4k,16,14.9443359375,,3825.8,,8253.820759677,,9895.936,,17006.592,,1.0,
f2fs,rand_mixed_30r,64k,1,171.3564453125,,2741.712914,,638.178866509,,346.496,,702.208,,1.0,
f2fs,rand_mixed_30r,64k,16,116.9150390625,,1870.65,,16872.027867073,,58195.968,,1644167.168,,1.0,
f2fs,rand_mixed_50r,128k,1,238.2353515625,,1905.892349,,995.5281542690001,,478.592,,954.112,,1.0,
f2fs,rand_mixed_50r,128k,16,227.1181640625,,1816.959152,,17519.838999062,,73400.32,,244318.208,,1.0,
f2fs,rand_mixed_50r,4k,1,13.9453125,,3570.071496,,507.768169029,,387.456,,1787.648,,1.0,
f2fs,rand_mixed_50r,4k,16,16.0087890625,,4098.59507,,7716.4918518,,9306.112,,25296.896,,1.0,
f2fs,rand_mixed_50r,64k,1,160.2236328125,,2563.5939900000003,,727.744740533,,342.4,,675.072,,1.0,
f2fs,rand_mixed_50r,64k,16,183.33984375,,2933.453327,,10799.835675343,,20840.448,,93323.264,,1.0,
f2fs,rand_mixed_70r,128k,1,336.9140625,,2695.315235,,790.986265814,,362.88,,744.192,,1.0,
f2fs,rand_mixed_70r,128k,16,331.181640625,,2649.467527,,11968.208517082001,,35717.12,,304087.04,,1.0,
f2fs,rand_mixed_70r,4k,1,10.26171875,,2627.268636,,848.063195858,,462.208,,1061.376,,1.0,
f2fs,rand_mixed_70r,4k,16,16.1865234375,,4144.042798,,7655.521421955,,11010.048,,27656.192,,1.0,
f2fs,rand_mixed_70r,64k,1,161.759765625,,2588.170592,,736.355645933,,428.416,,828.928,,0.9429,
f2fs,rand_mixed_70r,64k,16,223.9189453125,,3582.720864,,8871.253425073,,11337.728,,118489.088,,0.9935,
f2fs,rand_read,128k,1,360.3623046875,,2882.905855,,320.91306147999995,,370.688,,528.384,,,
f2fs,rand_read,128k,16,556.7744140625,,4454.2,,3524.878058271,,4177.92,,6062.08,,,
f2fs,rand_read,4k,1,3.896484375,,997.700115,,942.4107487350001,,2998.272,,32899.072,,,
f2fs,rand_read,4k,16,18.0927734375,,4631.968402,,3393.707059032,,7438.336,,8028.16,,,
f2fs,rand_read,64k,1,211.2080078125,,3379.331033,,270.08018408,,354.304,,522.24,,,
f2fs,rand_read,64k,16,224.6787109375,,3594.870256,,4360.090702466,,11730.944,,14221.312,,,
f2fs,rand_write,128k,1,212.2890625,,1698.315084,,562.9847941,,24.96,,46.848,,1.0,
f2fs,rand_write,128k,16,152.8916015625,,1223.138843,,13046.164203114999,,77070.336,,212860.928,,1.0,
f2fs,rand_write,4k,1,14.2802734375,,3655.867207,,248.075987104,,23.936,,35.072,,1.0,
f2fs,rand_write,4k,16,9.2880859375,,2377.881106,,6691.829760471001,,15794.176,,19529.728,,1.0,
f2fs,rand_write,64k,1,154.2421875,,2467.876606,,379.112726094,,24.96,,40.192,,1.0,
f2fs,rand_write,64k,16,73.75390625,,1180.073596,,13525.191550194,,24248.32,,39059.456,,1.0,
f2fs,seq_mixed_50r,128k,1,211.36328125,,1690.915454,,1129.191739239,,812.416,,2605.568,,0.9697,
f2fs,seq_mixed_50r,128k,16,263.9736328125,,2111.79441,,15062.714174597,,106430.464,,638582.784,,1.0,
f2fs,seq_mixed_50r,4k,1,14.5263671875,,3719.064047,,486.49785303100003,,296.32,,475.392,,1.0,
f2fs,seq_mixed_50r,4k,16,15.9423828125,,4081.5,,7750.749034536,,9175.04,,14548.992,,1.0,
f2fs,seq_mixed_50r,64k,1,169.9716796875,,2719.564021,,682.713579285,,455.04,,995.84,,1.0,
f2fs,seq_mixed_50r,64k,16,132.591796875,,2121.493925,,14969.36614049,,34930.688,,247988.224,,1.0,
f2fs,seq_mixed_70r,128k,1,231.2314453125,,1849.857507,,1308.535067113,,528.64,,1967.104,,1.0,
f2fs,seq_mixed_70r,128k,16,129.6171875,,1036.950117,,31346.703767097,,390070.272,,2919235.584,,1.0,
f2fs,seq_mixed_70r,4k,1,13.02734375,,3335.15,,562.132111758,,682.24,,1188.352,,1.0,
f2fs,seq_mixed_70r,4k,16,17.19140625,,4401.479926,,7203.8172029689995,,8650.752,,17137.664,,1.0,
f2fs,seq_mixed_70r,64k,1,188.9775390625,,3023.648818,,695.561653422,,320.896,,616.704,,1.0,
f2fs,seq_mixed_70r,64k,16,95.525390625,,1528.423579,,20795.704507338,,33488.896,,115736.576,,1.0,
zlfs,rand_mixed_30r,128k,1,310.134765625,,2481.089831,,747.361967608,,1121.043,,1494.724,,1.0352,
zlfs,rand_mixed_30r,128k,16,290.9345703125,,2327.486195,,14261.570394118,,108353.532,,334461.131,,1.0155,
zlfs,rand_mixed_30r,4k,1,15.9267578125,,4077.417535,,495.050609801,,742.576,,2639.36,,1.035,
zlfs,rand_mixed_30r,4k,16,34.2177734375,,8760.020632,,3824.5540340869998,,9265.599,,16697.381,,1.035,
zlfs,rand_mixed_30r,64k,1,198.482421875,,3175.726068,,580.162605917,,870.244,,1160.325,,1.035,
zlfs,rand_mixed_30r,64k,16,135.4228515625,,2166.773895,,15338.207151884999,,57137.859,,372682.975,,1.035,
zlfs,rand_mixed_50r,128k,1,263.03515625,,2104.288119,,933.307644627,,1399.961,,1866.615,,1.0251,
zlfs,rand_mixed_50r,128k,16,250.73828125,,2005.922904,,16424.849061621,,74317.824,,128463.667,,1.025,
zlfs,rand_mixed_50r,4k,1,16.19921875,,4146.99862,,452.466685273,,678.7,,1592.954,,1.0251,
zlfs,rand_mixed_50r,4k,16,37.46484375,,9591.514766,,3447.6649824819997,,7473.829,,20813.195,,1.025,
zlfs,rand_mixed_50r,64k,1,186.1162109375,,2977.873342,,648.4854123560001,,972.728,,1296.971,,1.0251,
zlfs,rand_mixed_50r,64k,16,212.94921875,,3407.206039,,9623.615948325001,,20056.352,,89812.092,,1.025,
zlfs,rand_mixed_70r,128k,1,373.0654296875,,2984.52795,,726.415958401,,1089.624,,1452.832,,1.015,
zlfs,rand_mixed_70r,128k,16,366.7177734375,,2933.760692,,10991.211903443,,35425.552,,66691.039,,1.015,
zlfs,rand_mixed_70r,4k,1,13.6416015625,,3492.340114,,539.5841565170001,,809.376,,1079.168,,1.015,
