filesystem,workload,fio_rw_mode,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets,actual_read_pct,bandwidth_MBps,lat_mean_us,lat_p99_us,lat_p999_us
zlfs,rand_write,randwrite,4k,1,1,18543,4636.009299,201805.391247,302708,403611,504513,1.02,0,0.0,18.1083984375,201.805391247,302.708,403.611
zlfs,rand_write,randwrite,4k,16,1,36992,9248.315409,1629032.969427,2827142,5474783,10351229,1.02,0,0.0,36.125,1629.0329694270001,2827.142,5474.783
zlfs,rand_write,randwrite,64k,1,1,208547,3258.552337,287693.373747,431540,575387,719233,1.02,0,0.0,203.6591796875,287.693373747,431.54,575.387
zlfs,rand_write,randwrite,64k,16,1,259396,4053.065079,3720308.562305,22138466,35660881,250822838,1.02,0,0.0,253.31640625,3720.308562305,22138.466,35660.881
zlfs,rand_write,randwrite,128k,1,1,252492,1972.59297,457076.763527,685615,914154,1142692,1.02,1,0.0,246.57421875,457.07676352699997,685.615,914.154
zlfs,rand_write,randwrite,128k,16,1,181846,1420.675766,10591935.293618,67577712,186643206,1625542797,1.02,0,0.0,177.583984375,10591.935293617998,67577.712,186643.206
zlfs,rand_read,randread,4k,1,1,9947,2486.939793,435425.264686,737197,5663237,27339766,,0,100.0,9.7138671875,435.425264686,737.197,5663.237
zlfs,rand_read,randread,4k,16,1,47156,11788.979991,1475906.399208,2720697,3606506,9406442,,0,100.0,46.05078125,1475.906399208,2720.697,3606.506
zlfs,rand_read,randread,64k,1,1,202512,3164.246107,321913.754762,482871,643828,2118832,,0,100.0,197.765625,321.913754762,482.871,643.828
zlfs,rand_read,randread,64k,16,1,708206,11065.720174,1559626.436664,2889423,3731621,9153354,,0,100.0,691.607421875,1559.6264366639998,2889.423,3731.621
zlfs,rand_read,randread,128k,1,1,373556,2918.416759,367647.973346,551472,735296,1342056,,0,100.0,364.80078125,367.647973346,551.472,735.296
zlfs,rand_read,randread,128k,16,1,1560649,12192.574378,1425177.425509,3020472,5959857,7662673,,0,100.0,1524.0712890625,1425.177425509,3020.472,5959.857
zlfs,seq_mixed_70r,rw,4k,1,1,16351,4087.893355,447522.652079,671284,946067,3438612,1.015,0,70.0,15.9677734375,447.522652079,671.284,946.067
zlfs,seq_mixed_70r,rw,4k,16,1,52189,13047.475691,2390127.587497,5127689,7198487,10762513,1.015,0,70.0,50.9658203125,2390.127587497,5127.689,7198.487
zlfs,seq_mixed_70r,rw,64k,1,1,237189,3706.086356,553748.112433,830622,1107496,1384370,1.015,0,70.0,231.6298828125,553.748112433,830.622,1107.496
zlfs,seq_mixed_70r,rw,64k,16,1,172809,2700.161582,11728698.727611,26483670,34710512,41044010,1.015,0,70.1,168.7587890625,11728.698727611,26483.67,34710.512
zlfs,seq_mixed_70r,rw,128k,1,1,276134,2157.303825,1094896.688809,1642345,2189793,4369763,1.015,0,70.0,269.662109375,1094.896688809,1642.345,2189.793
zlfs,seq_mixed_70r,rw,128k,16,1,182717,1427.488135,22253943.613788,52590152,141187976,212255750,1.0149,0,70.2,178.4345703125,22253.943613788,52590.152,141187.976
zlfs,seq_mixed_50r,rw,4k,1,1,18180,4545.443797,394978.454936,592468,789957,1267626,1.0251,1,49.9,17.75390625,394.978454936,592.468,789.957
zlfs,seq_mixed_50r,rw,4k,16,1,19951,4988.00115,6292687.33497,10194153,13592205,108492110,1.025,0,50.0,19.4833984375,6292.68733497,10194.153,13592.205
